administration,executive,exec party,date of liberal,raplib,manufac,devalu,hyperinf,grostron,groweak,switcher,execunco
arg73_74,Peron,PJ,73_74,0.01,0.99,0,0.72,0.14,0,0.05,0.18
arg74_76,dePeron,PJ,74_76,0.01,0.99,1,0.19,0.91,0,0.05,0.18
arg76_83,mil,mil,76_78,1,1,1,1,0,0.74,0.05,0.99
arg83_89,Alfonsin,UCR,83_85,0.07,0.96,1,1,0.5,0,0.05,0.01
arg89_95,Menem,PJ,89_91,0.17,0.96,1,1,0,1,0.95,0.18
arg95_99,Menem,PJ,96_97,0.03,0.4,0,0.02,0.91,0,0.62,0.18
arg99_01,delaRua,UCR_AC,99_01,0.02,0.35,0,0.02,0,0.98,0.05,0.05
bol71_78,mil,mil,72_73,0.42,0.15,0.09,0.09,1,0,0.05,0.99
bol82_85,SilesZ,UDP,83_85,0.04,0.03,1,1,0,0.99,0.05,0.01
bol85_89,PazE,MNR,85_87,0.04,0.31,1,1,0,0.59,0.62,0.01
bol89_93,PazZ,MIR,90_92,0.03,0.39,0.03,0.07,0.72,0,0.95,0.01
bol93_97,Sanchez,MNR,96_97,0.02,0.42,0,0.05,0.63,0,0.62,0.01
bol97_01,Banzer,A_DN,00_01,0.02,0.2,0.01,0.03,0.1,0,0.05,0.01
bra70_85,mil,mil,73_75,0,0.95,0.02,0.12,1,0,0.05,0.99
bra85_90,Sarney,PMDB,86_88,0.63,0.98,1,1,1,0,0.05,0.18
bra90_92,Collor,PRN,90_92,0.14,0.9,1,1,0,1,0.62,0.05
bra92_95,Franco,PMDB,92_94,0.06,0.8,1,1,0,0.11,0.05,0.05
bra95_03,Cardoso,PSDB,96_98,0.03,0.28,0.01,0.08,0.06,0,0.62,0.05
chi73_90,mil,mil,73_75,1,0.9,1,1,0,1,0.05,0.99
chi90_94,Alwyn,PDC,90_92,0.03,0.47,0.02,0.11,0.39,0,0.62,0.01
chi94_00,Frei,PDC,98_00,0.03,0.38,0.01,0.03,0.24,0,0.62,0.01
col70_74,PastranaB,PCC,72_74,0.22,0.63,0.01,0.06,1,0,0.05,0.05
col74_78,Lopez,PLC,74_76,0.02,0.75,0.03,0.14,0.93,0,0.05,0.05
col78_82,Turbay,PLC,80_82,0.01,0.76,0.03,0.16,0.54,0,0.05,0.05
col82_86,Betancur,PCC,82_84,0,0.64,0.13,0.13,0.01,0.01,0.62,0.05
col86_90,Barco,PLC,88_90,0.36,0.64,0.26,0.16,0.52,0,0.05,0.05
col90_94,Gaviria,PLC,90_92,0.13,0.54,0.2,0.14,0.96,0,0.62,0.05
col94_98,Samper,PLC,94_96,0.02,0.24,0.01,0.41,0.94,0,0.05,0.05
col98_02,PastranaA,PCC,00_01,0.02,0.22,0.01,0.06,0.17,0,0.05,0.05
ecu72_79,mil,mil,77_79,0.04,0.38,0,0.09,0.07,0,0.05,0.99
ecu79_81,Roldos,CFP,79_81,0.04,0.48,0,0.08,0.86,0,0.05,0.01
ecu81_84,Hurtado,DP_UDC,82_84,0.04,0.33,0.57,0.02,0,0.13,0.05,0.05
ecu84_88,FebresC,PSC,85_86,0.01,0.43,0.32,0.02,0.17,0,0.05,0.05
ecu88_92,Borja,ID,88_90,0.33,0.64,0.95,0.01,1,0,0.62,0.01
ecu92_96,DuranBallen,PUR,94_96,0.03,0.17,0.07,0.08,0.74,0,0.95,0.01
ecu96_97,Bucaram,PRE,96_97,0.02,0.15,0.05,0.03,0.08,0,0.62,0.01
ecu98_00,Mahuad,DP_UDC,98_00,0.01,0.1,0.99,0.02,0.06,0,0.05,0.01
par70_89,Stroessner,Colorado?,85_86,0.99,0.15,0.1,0.14,0.49,0,0.05,0.99
par89_93,Rodriguez,Colorado,89_91,0.05,0.16,0.62,0.2,0.94,0,0.05,0.82
par93_98,Wasmosy,Colorado,95_96,0.03,0.23,0,0.06,0.9,0,0.05,0.01
per70_80,mil,mil,78_80,0.96,0.7,0.85,0.63,0,0.03,0.05,0.99
per80_85,Belaunde,AP,82_84,0,0.74,1,0.71,0,0.14,0.05,0.05
per85_90,Garcia,APRA,86_88,0.01,0.74,1,0.8,1,0,0.05,0.05
per90_95,Fujimori,Cambio90,90_92,0.99,0.83,1,1,0,1,0.95,0.95
per95_00,Fujimori,Cambio90,95_97,0.03,0.25,0.01,0.06,1,0,0.05,0.82
uru72_85,mil,mil,77_79,1,0.95,0.5,0.58,0.02,0,0.05,0.95
uru85_90,Sanguinetti,Colorado,86_88,0.09,0.95,0.85,0.78,1,0,0.95,0.01
uru90_95,Lacalle,National,90_92,0.07,0.88,0.97,0.97,0,0.03,0.05,0.01
uru95_00,Sanguinetti,Colorado,97_99,0.02,0.38,0.02,0.09,0.83,0,0.95,0.01
ven70_74,Caldera,COPEI,73_74,0.04,0.24,0,0.05,0.99,0,0.05,0.05
ven74_79,Perez,AD,74_76,0.07,0.37,0,0.42,0.05,0,0.05,0.05
ven79_84,Herrera,COPEI,79_81,0.06,0.25,0,0.09,0.01,0.01,0.05,0.05
ven84_89,Lusinchi,AD,85_87,0.01,0.42,0.41,0.05,0,0.03,0.05,0.05
ven89_93,Perez,AD,89_91,0.2,0.27,0.95,0.91,0,1,0.95,0.05
ven94_99,Caldera,COPEI,94_96,0.03,0.17,0.97,0.68,0,0.85,0.95,0.05
ven99_03,Chavez,PSU,99_01,0.02,0.44,0.01,0.14,0,1,0.05,0.18
mex70_75,Echeverria,PRI,73_75,0.08,0.7,0,0.06,1,0,0.05,0.82
mex76_81,LopezP,PRI,77_79,0.06,0.7,0.04,0.19,0.29,0,0.05,0.82
mex82_88,delaMadrid,PRI,85_87,0.19,0.77,1,0.6,0.11,0,0.05,0.82
mex89_94,Salinas,PRI,89_91,0.02,0.64,0.01,0.15,0.57,0,0.05,0.5
mex95_00,Zedillo,PRI,98_99,0.01,0.6,0.01,0.07,0.8,0,0.05,0.18
